2024-08-04T05:42:18.412Z info: Proxy server is running on port 8080
2024-08-04T05:42:18.422Z info: [object Object]
2024-08-04T05:42:18.423Z info: Rules And Domain loaded successfully
2024-08-04T05:42:27.634Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: www.youtube.com:443
2024-08-04T05:42:35.806Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: www.youtube.com:443
2024-08-04T05:42:45.734Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: www.youtube.com:443
2024-08-04T05:42:47.159Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: zhentaivnz.cc:443
2024-08-04T05:42:47.731Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: kx.gyppingargulus.com:443
2024-08-04T05:42:48.051Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: i.ytimg.com:443
2024-08-04T05:42:48.736Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: galootsmulcted.shop:443
2024-08-04T05:42:48.928Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: faecesjazies.top:443
2024-08-04T05:42:49.006Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: galootsmulcted.shop:443
2024-08-04T05:42:49.199Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: faecesjazies.top:443
2024-08-04T05:42:51.696Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: kx.gyppingargulus.com:443
2024-08-04T05:42:51.915Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: kx.gyppingargulus.com:443
2024-08-04T05:42:55.685Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: www.youtube.com:443
2024-08-04T05:42:55.877Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: beacons.gcp.gvt2.com:443
2024-08-04T05:42:58.723Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: play.google.com:443
2024-08-04T05:43:05.684Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: www.youtube.com:443
2024-08-04T05:43:06.693Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: krengsuccise.shop:443
2024-08-04T05:43:06.989Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: click.eu.fyubin.com:443
2024-08-04T05:43:07.786Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: fabet.com:443
2024-08-04T05:43:09.189Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: fabet.com:443
2024-08-04T05:43:09.667Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: faecesjazies.top:443
2024-08-04T05:43:09.687Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: play.google.com:443
2024-08-04T05:43:09.945Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: faecesjazies.top:443
2024-08-04T05:43:15.680Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: www.youtube.com:443
2024-08-04T05:43:25.857Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: mtalk.google.com:443
2024-08-04T05:43:33.680Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: play.google.com:443
2024-08-04T05:43:33.897Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: beacons.gcp.gvt2.com:443
2024-08-04T05:43:35.488Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: www.youtube.com:443
2024-08-04T05:43:41.020Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: play.google.com:443
2024-08-04T05:43:41.985Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: www.google.com:443
2024-08-04T05:43:45.546Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: www.youtube.com:443
2024-08-04T05:43:47.179Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: i.ytimg.com:443
2024-08-04T05:43:49.780Z info: Client IP: ::ffff:169.254.200.255 - Requested URL: guardogoter.shop:443
